client_no,round_no,instance_count,f1,roc,messages_sent,messages_recv
0,0,88,0.14,0.87,0,0
1,0,47,0.37,0.69,0,0
2,0,86,0.1,0.74,0,0
3,0,143,0.08,0.87,0,0
4,0,529,0.86,0.96,0,0
0,0,88,0.14,0.87,0,0
1,0,47,0.37,0.69,0,0
2,0,86,0.1,0.74,0,0
3,0,143,0.08,0.87,0,0
4,0,529,0.86,0.96,0,0
0,0,88,0.14,0.87,12,0
1,0,47,0.37,0.69,12,0
2,0,86,0.1,0.74,12,0
3,0,143,0.08,0.87,12,0
4,0,529,0.86,0.96,12,0
0,0,88,0.68,0.93,13,23
1,0,47,0.36,0.69,13,23
2,0,86,0.64,0.92,13,23
3,0,143,0.66,0.92,13,23
4,0,529,0.85,0.96,13,23
0,0,88,0.14,0.87,0,0
1,0,47,0.37,0.68,0,0
2,0,86,0.1,0.74,0,0
3,0,143,0.08,0.87,0,0
4,0,529,0.86,0.96,0,0
0,0,88,0.14,0.87,12,0
1,0,47,0.37,0.68,12,0
2,0,86,0.1,0.74,12,0
3,0,143,0.08,0.87,12,0
4,0,529,0.86,0.96,12,0
0,0,88,0.67,0.93,13,23
1,0,47,0.36,0.69,13,23
2,0,86,0.64,0.92,13,23
3,0,143,0.65,0.92,13,23
4,0,529,0.85,0.96,13,23
0,1,176,0.72,0.93,25,23
1,1,94,0.35,0.81,25,23
2,1,172,0.52,0.93,25,23
3,1,286,0.71,0.91,25,23
4,1,1058,0.84,0.96,25,23
0,1,176,0.65,0.94,26,46
1,1,94,0.47,0.81,26,46
2,1,172,0.69,0.92,26,46
3,1,286,0.75,0.93,26,46
4,1,1058,0.86,0.96,26,46
0,2,264,0.76,0.95,38,46
1,2,141,0.66,0.87,38,46
2,2,258,0.73,0.94,38,46
3,2,429,0.73,0.91,38,46
4,2,1587,0.83,0.96,38,46
0,2,264,0.76,0.95,39,69
1,2,141,0.66,0.87,39,69
2,2,258,0.72,0.94,39,69
3,2,429,0.75,0.91,39,69
4,2,1587,0.83,0.96,39,69
0,3,351,0.77,0.94,51,69
1,3,188,0.69,0.92,51,69
2,3,343,0.67,0.9,51,69
3,3,571,0.75,0.92,51,69
4,3,2116,0.87,0.97,51,69
0,3,351,0.73,0.94,52,92
1,3,188,0.68,0.92,52,92
2,3,343,0.66,0.9,52,92
3,3,571,0.76,0.92,52,92
4,3,2116,0.86,0.97,52,92
0,4,438,0.76,0.95,64,92
1,4,234,0.63,0.87,64,92
2,4,428,0.74,0.94,64,92
3,4,713,0.81,0.96,64,92
4,4,2644,0.84,0.96,64,92
0,4,438,0.73,0.95,65,115
1,4,234,0.62,0.87,65,115
2,4,428,0.72,0.94,65,115
3,4,713,0.77,0.96,65,115
4,4,2644,0.85,0.96,65,115
